Partida;Concepto;Unidades;Precio unidad (€);Importe;Tipo 
1;Bibliografía;;;;-
;Lectura de documentos;30;15;450;Personal
2;Robot;;;;-
2.1;Silicona;;;;-
;Silicona TinSil 80-15;2;42,96;85,92;Fungible
;Silicona Platsil FS-10 kit 900 gr.;2;58,69;117,38;Fungible
;Silicona EASYPLAT 00-30 kit 2 kg.;1;58,08;58,08;Fungible
2.2;Impresión 3D;;;;-
;PLA BQ  1.75 mm 1kg;2;20;40;Fungible
;Smartfil PVA 1.75 mm 750 gr.;1;45,46;45,46;Fungible
;Mano de obra impresión;2,5;15;37,5;Personal
;Mano de obra diseño;40;;;Personal
;Horas impresión;90;0,1;9;Fungible
2.3;Fabricación;;;;-
;Cera de parafina;5;2;10;Fungible
;Guantes latex (caja);1;12,99;12,99;Fungible
;Tornillería ;1;21,99;21,99;Inventariable
;Mano de obra fabricación;90;15;1350;Personal
3;Banco de actuación;;;;-
3.1;Componentes neumáticos;;;;-
;Compresor y manguera neumática;1;144,99;144,99;Inventariable
;Tubo neumático TS0425BU-20;1;15,74;15,74;Inventariable
;Electroválvula 2/2 VDW20BZ1D;4;16,25;65;Inventariable
;Racor M5 a 4mm KQ2L04-M5A;20;2,13;42,6;Inventariable
;Placa base SS3Y1-S41-06-M5-Q;1;40,47;40,47;Inventariable
;PLACA CIEGA SY114;3;1,37;4,11;Inventariable
3.2;Componentes electrónicos;;;;-
;Arduino due;1;49,78;49,78;Inventariable
;Placa de mosfets IRF540;5;9,21;46,05;Inventariable
;Cableado;1;5;5;Inventariable
3.3;Montaje;;;;-
;Mano de obra montaje;45;15;675;Personal
4;Software;;;;-
;Mano de obra programación;80;15;1200;Personal
5;Ensayos y recogida de datos;;;;-
;Mano de obra ensayos;35;15;525;Personal
6;Memoria final;;;;-
;Redacción;70;15;1050;Personal
;;;TOTAL;6102,06;
