Personal;;;
Lectura de documentos;30;15;450
Mano de obra impresión;2,5;15;37,5
Mano de obra diseño;40;15;600
Mano de obra fabricación;90;15;1350
Mano de obra montaje;45;15;675
Mano de obra programación;80;15;1200
Mano de obra ensayos;35;15;525
Redacción;70;15;1050
Total; 5.887,50 € ;;
Inventariable;;;
Tornillería ;1;21,99;21,99
Compresor y manguera neumática;1;144,99;144,99
Tubo neumático TS0425BU-20;1;15,74;15,74
Electroválvula 2/2 VDW20BZ1D;4;16,25;65
Racor M5 a 4mm KQ2L04-M5A;20;2,13;42,6
Placa base SS3Y1-S41-06-M5-Q;1;40,47;40,47
PLACA CIEGA SY114;3;1,37;4,11
Arduino due;1;49,78;49,78
Placa de mosfets IRF540;5;9,21;46,05
Cableado;1;5;5
Total; 435,73 € ;;
Fungible;;;
Silicona TinSil 80-15;2;42,96;85,92
Silicona Platsil FS-10 kit 900 gr.;2;58,69;117,38
Silicona EASYPLAT 00-30 kit 2 kg.;1;58,08;58,08
PLA BQ  1.75 mm 1kg;2;20;40
Smartfil PVA 1.75 mm 750 gr.;1;45,46;45,46
Horas impresión;90;0,1;9
Cera de parafina;5;2;10
Guantes latex (caja);1;12,99;12,99
Total; 378,83 € ;;
